contrast,roi,n,beta_neuro,t_value,p_unc,r_squared,p_for_fdr,p_fdr,sig_fdr
emotion_vs_neutral,amygdala_L,196,-0.04687906388472975,-1.690317967129688,0.09258997324011776,0.0191508824492147,0.9537050133799411,0.9639283812361517,False
emotion_vs_neutral,amygdala_R,196,-0.01726328187907573,-0.6622644174150016,0.5085959143731947,0.06688794485152827,0.7457020428134027,0.9639283812361517,False
emotion_vs_neutral,dmPFC,196,-0.03516565695506759,-1.0059031588502878,0.3157281797251502,0.023606079555858805,0.8421359101374248,0.9639283812361517,False
negative_vs_neutral,amygdala_L,196,-0.055754977768316276,-1.8081803275218813,0.07214323752769673,0.020716878213142942,0.9639283812361517,0.9639283812361517,False
negative_vs_neutral,amygdala_R,196,-0.019891741300515433,-0.7204085645906595,0.47214962299973073,0.06154004360132648,0.7639251885001346,0.9639283812361517,False
negative_vs_neutral,dmPFC,196,-0.0470348538175853,-1.2474811462344557,0.21374054345587004,0.022878052022256123,0.8931297282720649,0.9639283812361517,False
positive_vs_neutral,amygdala_L,196,-0.038003151111048766,-1.2357882836252025,0.21804710351728182,0.01133072137401947,0.21804710351728182,0.9639283812361517,False
positive_vs_neutral,amygdala_R,196,-0.01463482517579422,-0.4903836797725375,0.6244223560087283,0.05064037910435182,0.6244223560087283,0.9639283812361517,False
positive_vs_neutral,dmPFC,196,-0.023296451197023824,-0.5977492313073287,0.5507116408102642,0.01898785205373532,0.5507116408102642,0.9639283812361517,False
negative_vs_positive,amygdala_L,196,-0.01775182430609535,-0.6632799307217464,0.5079468507159903,0.0025526991487784256,0.7460265746420048,0.9639283812361517,False
negative_vs_positive,amygdala_R,196,-0.0052569156218974095,-0.21676650332217567,0.8286204698401606,0.00029980652484495884,0.5856897650799198,0.9639283812361517,False
negative_vs_positive,dmPFC,196,-0.023738404913623168,-0.7535275842747766,0.4520559759074432,0.007180252217835692,0.7739720120462784,0.9639283812361517,False
